Accession,Release_Date,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW549674,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29648,"USA: Washington,King County",WA,Homo sapiens,,2021-01-09
MW549675,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29333,"USA: Washington,King County",WA,Homo sapiens,,2021-01-09
MW549722,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29724,"USA: Washington,Pierce County",WA,Homo sapiens,,2021-01-09
MW549723,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-15
MW549724,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29846,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-15
MW549725,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-15
MW549726,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-15
MW549727,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549728,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549729,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549730,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549731,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549732,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549733,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549734,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29863,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549735,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549736,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549737,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549738,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29892,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549739,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29852,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549740,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-18
MW549741,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549742,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549743,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29851,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549744,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549745,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549746,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549747,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549748,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29871,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-19
MW549749,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29862,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-20
MW549750,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-01-13
MW549834,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549837,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-01
MW549838,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549839,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549841,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29814,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549842,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549844,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549845,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-02
MW549846,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549847,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29822,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549848,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549849,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549850,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549851,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549852,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549853,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549854,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549855,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549856,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29816,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549857,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549858,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29821,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549859,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29821,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549860,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549861,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29819,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549862,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29806,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549863,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549864,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549865,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549866,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29801,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549867,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549868,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-04
MW549869,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549870,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29807,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2021-01-03
MW549882,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: AZ,AZ,Homo sapiens,,2021-01-09
MW549883,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549884,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549885,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549886,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549887,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549888,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549889,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549890,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-07
MW549891,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549892,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549893,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29768,USA: CA,CA,Homo sapiens,,2021-01-08
MW549894,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549895,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549896,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549897,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549898,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,USA: CA,CA,Homo sapiens,,2021-01-09
MW549899,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549900,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549901,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549902,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549903,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549904,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549905,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549906,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549907,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29785,USA: CA,CA,Homo sapiens,,2021-01-08
MW549908,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549909,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549910,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549911,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549912,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549913,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-07
MW549914,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29771,USA: CA,CA,Homo sapiens,,2021-01-09
MW549915,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549916,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549917,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-07
MW549918,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549919,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549920,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549921,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549922,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549923,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549924,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549925,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549926,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549927,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549928,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,USA: CA,CA,Homo sapiens,,2021-01-08
MW549929,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549930,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549931,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549932,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549933,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549934,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549935,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549936,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549937,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549938,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549939,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549940,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,USA: CA,CA,Homo sapiens,,2021-01-09
MW549941,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549942,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549943,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-05
MW549944,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549945,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549946,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549947,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549948,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549949,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549950,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549951,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549952,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549953,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549954,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549955,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549956,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549957,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549958,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549959,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549960,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549961,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549962,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-10
MW549963,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-07
MW549964,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549965,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549966,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549967,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549968,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-06
MW549969,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549970,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549971,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29781,USA: CA,CA,Homo sapiens,,2021-01-08
MW549972,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549973,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549974,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549975,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549976,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549977,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-05
MW549978,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549979,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549980,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549981,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549982,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549983,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549984,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549985,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,USA: CA,CA,Homo sapiens,,2021-01-08
MW549986,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
MW549987,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29763,USA: CA,CA,Homo sapiens,,2021-01-08
MW549988,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-08
MW549989,2021-02-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,USA: CA,CA,Homo sapiens,,2021-01-09
