Accession,Release_Date,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW560921,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29829,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560922,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29840,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560923,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560924,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29766,complete,USA: California,CA,Homo sapiens,,2021-01-17
MW560925,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29862,complete,USA: California,CA,Homo sapiens,,2021-01-17
MW560926,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,partial,USA: California,CA,Homo sapiens,,2021-01-17
MW560927,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29824,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW514258,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW514259,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,partial,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW514260,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW514261,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW514262,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29897,complete,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW514263,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,partial,USA,,Homo sapiens,,2021-01-04
MW555833,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29609,partial,"USA: Washington,Thurston County",WA,Homo sapiens,,2021-01-06
MW555834,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29334,partial,"USA: Washington,King County",WA,Homo sapiens,,2021-01-07
MW555835,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29648,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-07
MW555836,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29334,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-07
MW555837,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29644,partial,"USA: Washington,Spokane County",WA,Homo sapiens,,2021-01-07
MW555838,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29671,complete,"USA: Washington,Spokane County",WA,Homo sapiens,,2021-01-07
MW555839,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29641,complete,"USA: Washington,Spokane County",WA,Homo sapiens,,2021-01-07
MW555840,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29334,partial,"USA: Washington,Grays Harbor County",WA,Homo sapiens,,2021-01-08
MW555841,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29621,partial,"USA: Washington,Grays Harbor County",WA,Homo sapiens,,2021-01-08
MW555842,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29334,partial,"USA: Washington,King County",WA,Homo sapiens,,2021-01-08
MW555843,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29648,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-08
MW555844,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29652,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-08
MW555845,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29648,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-08
MW555846,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29482,partial,"USA: Washington,Yakima County",WA,Homo sapiens,,2021-01-08
MW555847,2021-02-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29334,partial,"USA: Washington,Mason County",WA,Homo sapiens,,2021-01-08
